content,category
Get laptop for only $750! Offer expires soon. Order at secure-verify.com.,spam
Reminder: dinner is scheduled for Tuesday at 2pm.,ham
Congratulations! You've been selected for a cash reward. Reply with your SSN to confirm.,spam
Thanks for the suggestion. Really appreciate it!,ham
"Hey, are you free for dinner this the weekend?",ham
Make $10000 from home! free iPhone. Visit secure-verify.com for details.,spam
ALERT: Suspicious activity on your credit card. Confirm identity at bit.ly/xyz123.,spam
You have 750 unclaimed. Click here: tinyurl.com/abc,spam
Your loan has been approved for $10000! Call 12345 now.,spam
Your loan has been approved for $2500! Call 555-0100 now.,spam
Happy anniversary! Hope you have a great day.,ham
Thanks for the suggestion. Really appreciate it!,ham
Your loan has been approved for $750! Call 555-0100 now.,spam
Your loan has been approved for $2500! Call 88888 now.,spam
Can you pick up groceries on your way home?,ham
Thanks for your time. Really appreciate it!,ham
Your loan has been approved for $10000! Call 555-0100 now.,spam
FREE vacation! Limited time offer. Text CLAIM to 12345 now!,spam
URGENT: Your bank account has been suspended. Verify at bit.ly/xyz123 immediately.,spam
Hot singles in your area! Click tinyurl.com/abc to meet them today!,spam
Get iPhone for only $10000! Offer expires soon. Order at claim-now.net.,spam
URGENT: Your PayPal account has been compromised. Verify at secure-verify.com immediately.,spam
Reminder: dinner is scheduled for the weekend at 3:30pm.,ham
You have 5000 unclaimed. Click here: bit.ly/xyz123,spam
Meeting scheduled for 2pm tomorrow. See you there!,ham
You have 5000 unclaimed. Click here: tinyurl.com/abc,spam
Reminder: dinner is scheduled for Tuesday at noon.,ham
Just finished coffee. How did yours go?,ham
Thanks for your time. Really appreciate it!,ham
WINNER! You've won $10000! Click claim-now.net to claim your prize NOW!,spam
"Hey, are you free for dinner this the weekend?",ham
You have 750 unclaimed. Click here: bit.ly/xyz123,spam
Just finished a movie. How did yours go?,ham
Looking forward to seeing you at the conference!,ham
Meeting scheduled for 3:30pm tomorrow. See you there!,ham
Congratulations! You've been selected for a vacation package. Reply with your SSN to confirm.,spam
WINNER! You've won $5000! Click secure-verify.com to claim your prize NOW!,spam
You have 10000 unclaimed. Click here: bit.ly/xyz123,spam
Please review the budget when you get a chance.,ham
Please review the proposal when you get a chance.,ham
Please review the contract when you get a chance.,ham
WINNER! You've won $2500! Click bit.ly/xyz123 to claim your prize NOW!,spam
Just finished a movie. How did yours go?,ham
Your loan has been approved for $2500! Call 555-0100 now.,spam
Looking forward to seeing you at the meeting!,ham
Just finished lunch. How did yours go?,ham
ALERT: Suspicious activity on your email account. Confirm identity at claim-now.net.,spam
WINNER! You've won $10000! Click secure-verify.com to claim your prize NOW!,spam
Make $1000 from home! gift card. Visit claim-now.net for details.,spam
"Hey, are you free for lunch this Friday?",ham
Your loan has been approved for $750! Call 88888 now.,spam
"Hey, are you free for a movie this the weekend?",ham
FREE vacation! Limited time offer. Text CLAIM to 555-0100 now!,spam
Your loan has been approved for $1000! Call 555-0100 now.,spam
You have 1000 unclaimed. Click here: bit.ly/xyz123,spam
URGENT: Your bank account has been suspended. Verify at tinyurl.com/abc immediately.,spam
Looking forward to seeing you at dinner!,ham
WINNER! You've won $10000! Click tinyurl.com/abc to claim your prize NOW!,spam
Looking forward to seeing you at the conference!,ham
Looking forward to seeing you at the party!,ham
Can you pick up milk on your way home?,ham
WINNER! You've won $750! Click claim-now.net to claim your prize NOW!,spam
Happy Monday! Hope you have a great day.,ham
Reminder: the conference is scheduled for Friday at 3:30pm.,ham
Just finished coffee. How did yours go?,ham
Hot singles in your area! Click bit.ly/xyz123 to meet them today!,spam
Please review the presentation when you get a chance.,ham
URGENT: Your email account has been suspended. Verify at bit.ly/xyz123 immediately.,spam
FREE laptop! Limited time offer. Text WIN to 12345 now!,spam
Hot singles in your area! Click bit.ly/xyz123 to meet them today!,spam
You have 500 unclaimed. Click here: tinyurl.com/abc,spam
Reminder: the conference is scheduled for next week at 2pm.,ham
Can you pick up milk on your way home?,ham
Get laptop for only $10000! Offer expires soon. Order at claim-now.net.,spam
ALERT: Suspicious activity on your PayPal account. Confirm identity at tinyurl.com/abc.,spam
Thanks for coming. Really appreciate it!,ham
Looking forward to seeing you at the party!,ham
WINNER! You've won $750! Click tinyurl.com/abc to claim your prize NOW!,spam
Congratulations! You've been selected for a gift card. Reply with your SSN to confirm.,spam
URGENT: Your bank account has been flagged. Verify at claim-now.net immediately.,spam
Can you pick up the package on your way home?,ham
Congratulations! You've been selected for a cash reward. Reply with your SSN to confirm.,spam
Hot singles in your area! Click secure-verify.com to meet them today!,spam
Your loan has been approved for $10000! Call 555-0100 now.,spam
Reminder: the party is scheduled for Tuesday at noon.,ham
WINNER! You've won $10000! Click bit.ly/xyz123 to claim your prize NOW!,spam
Happy Monday! Hope you have a great day.,ham
Get iPhone for only $1000! Offer expires soon. Order at claim-now.net.,spam
The report is ready. I'll send it by 2pm.,ham
Reminder: dinner is scheduled for Monday at 3:30pm.,ham
WINNER! You've won $2500! Click secure-verify.com to claim your prize NOW!,spam
Can you pick up dinner on your way home?,ham
Thanks for the suggestion. Really appreciate it!,ham
Hot singles in your area! Click claim-now.net to meet them today!,spam
WINNER! You've won $750! Click claim-now.net to claim your prize NOW!,spam
Make $5000 from home! gift card. Visit secure-verify.com for details.,spam
URGENT: Your credit card has been compromised. Verify at claim-now.net immediately.,spam
Can you pick up dinner on your way home?,ham
You have 5000 unclaimed. Click here: tinyurl.com/abc,spam
Hot singles in your area! Click claim-now.net to meet them today!,spam
Your loan has been approved for $10000! Call 88888 now.,spam
Just finished coffee. How did yours go?,ham
The report is ready. I'll send it by 3:30pm.,ham
Get iPhone for only $10000! Offer expires soon. Order at tinyurl.com/abc.,spam
Reminder: dinner is scheduled for Tuesday at 2pm.,ham
Get iPhone for only $10000! Offer expires soon. Order at claim-now.net.,spam
Make $750 from home! vacation package. Visit bit.ly/xyz123 for details.,spam
ALERT: Suspicious activity on your email account. Confirm identity at bit.ly/xyz123.,spam
Reminder: the conference is scheduled for Friday at 10am.,ham
Reminder: the party is scheduled for Tuesday at 10am.,ham
Please review the presentation when you get a chance.,ham
FREE laptop! Limited time offer. Text WIN to 88888 now!,spam
Just finished lunch. How did yours go?,ham
URGENT: Your bank account has been flagged. Verify at secure-verify.com immediately.,spam
Your loan has been approved for $750! Call 88888 now.,spam
Just finished lunch. How did yours go?,ham
Make $2500 from home! gift card. Visit bit.ly/xyz123 for details.,spam
Your loan has been approved for $1000! Call 88888 now.,spam
WINNER! You've won $750! Click tinyurl.com/abc to claim your prize NOW!,spam
The report is ready. I'll send it by noon.,ham
URGENT: Your bank account has been suspended. Verify at tinyurl.com/abc immediately.,spam
Can you pick up dinner on your way home?,ham
URGENT: Your credit card has been locked. Verify at claim-now.net immediately.,spam
Thanks for helping. Really appreciate it!,ham
Please review the presentation when you get a chance.,ham
Looking forward to seeing you at the party!,ham
Get laptop for only $750! Offer expires soon. Order at secure-verify.com.,spam
Please review the presentation when you get a chance.,ham
Hot singles in your area! Click bit.ly/xyz123 to meet them today!,spam
Get gift card for only $1000! Offer expires soon. Order at tinyurl.com/abc.,spam
The report is ready. I'll send it by noon.,ham
The report is ready. I'll send it by noon.,ham
The report is ready. I'll send it by 10am.,ham
Thanks for the suggestion. Really appreciate it!,ham
FREE gift card! Limited time offer. Text CONFIRM to 12345 now!,spam
Looking forward to seeing you at dinner!,ham
Reminder: the meeting is scheduled for Friday at 2pm.,ham
The report is ready. I'll send it by noon.,ham
Congratulations! You've been selected for a gift card. Reply with account number to confirm.,spam
FREE vacation! Limited time offer. Text CONFIRM to 555-0100 now!,spam
Happy birthday! Hope you have a great day.,ham
Congratulations! You've been selected for a vacation package. Reply with your SSN to confirm.,spam
Congratulations! You've been selected for a vacation package. Reply with account number to confirm.,spam
WINNER! You've won $1000! Click bit.ly/xyz123 to claim your prize NOW!,spam
Your loan has been approved for $5000! Call 555-0100 now.,spam
Get laptop for only $2500! Offer expires soon. Order at secure-verify.com.,spam
Happy anniversary! Hope you have a great day.,ham
Your loan has been approved for $500! Call 12345 now.,spam
